650 without_current 1
-1.55641 -0.465053 0.936333	-1.77727 -0.496167 1.04514
-1.77727 -0.496167 1.04514	-1.98732 -0.405802 1.14207
-1.98732 -0.405802 1.14207	-2.1371 -0.216082 1.19988
-2.1371 -0.216082 1.19988	-2.19143 0.0265418 1.20172
-2.19143 0.0265418 1.20172	-2.13823 0.262667 1.14489
-2.13823 0.262667 1.14489	-1.99181 0.434483 1.04099
-1.99181 0.434483 1.04099	-1.78957 0.499922 0.912629
-1.78957 0.499922 0.912629	-1.58305 0.442962 0.78746
-1.58305 0.442962 0.78746	-1.42531 0.27755 0.691303
-1.42531 0.27755 0.691303	-1.35788 0.0441843 0.641906
-1.35788 0.0441843 0.641906	-1.40037 -0.2 0.644938
-1.40037 -0.2 0.644938	-1.54542 -0.395217 0.693097
-1.54542 -0.395217 0.693097	-1.76029 -0.493671 0.768412
-1.76029 -0.493671 0.768412	-1.99467 -0.471257 0.84708
-1.99467 -0.471257 0.84708	-2.19296 -0.333463 0.905514
-2.19296 -0.333463 0.905514	-2.30795 -0.114026 0.926091
-2.30795 -0.114026 0.926091	-2.31251 0.133329 0.901176
-2.31251 0.133329 0.901176	-2.20644 0.34804 0.834524
-2.20644 0.34804 0.834524	-2.01676 0.477539 0.739818
-2.01676 0.477539 0.739818	-1.79125 0.49012 0.636844
-1.79125 0.49012 0.636844	-1.5868 0.382702 0.546345
-1.5868 0.382702 0.546345	-1.45549 0.181586 0.484907
-1.45549 0.181586 0.484907	-1.43168 -0.0639893 0.461123
-1.43168 -0.0639893 0.461123	-1.52348 -0.293898 0.473928
-1.52348 -0.293898 0.473928	-1.71053 -0.451849 0.513411
-1.71053 -0.451849 0.513411	-1.94885 -0.499173 0.563761
-1.94885 -0.499173 0.563761	-2.18154 -0.424281 0.607501
-2.18154 -0.424281 0.607501	-2.35271 -0.245511 0.629886
-2.35271 -0.245511 0.629886	-2.42125 -0.00663084 0.622356
-2.42125 -0.00663084 0.622356	-2.37101 0.233873 0.584231
-2.37101 0.233873 0.584231	-2.21495 0.417116 0.522338
-2.21495 0.417116 0.522338	-1.99205 0.498235 0.448794
-1.99205 0.498235 0.448794	-1.75788 0.457368 0.377606
-1.75788 0.457368 0.377606	-1.57096 0.304522 0.321055
-1.57096 0.304522 0.321055	-1.47843 0.0771183 0.286773
-1.47843 0.0771183 0.286773	-1.50434 -0.169167 0.27622
-1.50434 -0.169167 0.27622	-1.64369 -0.374034 0.284846
-1.64369 -0.374034 0.284846	-1.86353 -0.487324 0.303782
-1.86353 -0.487324 0.303782	-2.11097 -0.481301 0.322482
-2.11097 -0.481301 0.322482	-2.32611 -0.357438 0.331579
-2.32611 -0.357438 0.331579	-2.45676 -0.146062 0.325171
-2.45676 -0.146062 0.325171	-2.4713 0.101075 0.301981
-2.4713 0.101075 0.301981	-2.36646 0.323465 0.265182
-2.36646 0.323465 0.265182	-2.16828 0.46666 0.221043
-2.16828 0.46666 0.221043	-1.92571 0.4956 0.176876
-1.92571 0.4956 0.176876	-1.69865 0.4032 0.138905
-1.69865 0.4032 0.138905	-1.54324 0.212083 0.110674
-1.54324 0.212083 0.110674	-1.49811 -0.0309602 0.0923896
-1.49811 -0.0309602 0.0923896	-1.5748 -0.266423 0.08132
-1.5748 -0.266423 0.08132	-1.7549 -0.436656 0.0730331
-1.7549 -0.436656 0.0730331	-1.99459 -0.49998 0.0630352
-1.99459 -0.49998 0.0630352	-2.2353 -0.440892 0.0482737
-2.2353 -0.440892 0.0482737	-2.41817 -0.273858 0.0280343
-2.41817 -0.273858 0.0280343	-2.49841 -0.0397743 0.00397911
-2.49841 -0.0397743 0.00397911	-2.45638 0.204048 -0.0206521
-2.45638 0.204048 -0.0206521	-2.30237 0.397912 -0.0423854
-2.30237 0.397912 -0.0423854	-2.07409 0.494353 -0.0589354
-2.07409 0.494353 -0.0589354	-1.8274 0.46976 -0.0702203
-1.8274 0.46976 -0.0702203	-1.6226 0.330153 -0.0786071
-1.6226 0.330153 -0.0786071	-1.50961 0.109713 -0.0882725
-1.50961 0.109713 -0.0882725	-1.51575 -0.137589 -0.10385
-1.51575 -0.137589 -0.10385	-1.63906 -0.351204 -0.128778
-1.63906 -0.351204 -0.128778	-1.84881 -0.478832 -0.163875
-1.84881 -0.478832 -0.163875	-2.09307 -0.489225 -0.20664
-2.09307 -0.489225 -0.20664	-2.3115 -0.379839 -0.25157
-2.3115 -0.379839 -0.25157	-2.45017 -0.177455 -0.291482
-2.45017 -0.177455 -0.291482	-2.47476 0.0683761 -0.319535
-2.47476 0.0683761 -0.319535	-2.37892 0.297466 -0.331379
-2.37892 0.297466 -0.331379	-2.18578 0.453727 -0.326789
-2.18578 0.453727 -0.326789	-1.94221 0.498899 -0.310259
-1.94221 0.498899 -0.310259	-1.70721 0.421923 -0.290256
-1.70721 0.421923 -0.290256	-1.53747 0.241646 -0.277244
-1.53747 0.241646 -0.277244	-1.47346 0.00220531 -0.280943
-1.47346 0.00220531 -0.280943	-1.52955 -0.237775 -0.307519
-1.52955 -0.237775 -0.307519	-1.6906 -0.41954 -0.357526
-1.6906 -0.41954 -0.357526	-1.91581 -0.498587 -0.42521
-1.91581 -0.498587 -0.42521	-2.14877 -0.455562 -0.499512
-2.14877 -0.455562 -0.499512	-2.33139 -0.301 -0.566595
-2.33139 -0.301 -0.566595	-2.41811 -0.0727426 -0.613343
-2.41811 -0.0727426 -0.613343	-2.38702 0.173325 -0.63093
-2.38702 0.173325 -0.63093	-2.24511 0.376956 -0.617506
-2.24511 0.376956 -0.617506	-2.0264 0.488295 -0.579207
-2.0264 0.488295 -0.579207	-1.78345 0.480083 -0.529113
-1.78345 0.480083 -0.529113	-1.57443 0.35433 -0.484281
-1.57443 0.35433 -0.484281	-1.44879 0.141824 -0.461546
-1.44879 0.141824 -0.461546	-1.43527 -0.105405 -0.473099
-1.43527 -0.105405 -0.473099	-1.53494 -0.326828 -0.523025
-1.53494 -0.326828 -0.523025	-1.72113 -0.468231 -0.605745
-1.72113 -0.468231 -0.605745	-1.94616 -0.494995 -0.706894
-1.94616 -0.494995 -0.706894	-2.15314 -0.400567 -0.806536
-2.15314 -0.400567 -0.806536	-2.28995 -0.208067 -0.883994
-2.28995 -0.208067 -0.883994	-2.32197 0.0353761 -0.923139
-2.32197 0.0353761 -0.923139	-2.24042 0.270157 -0.916767
-2.24042 0.270157 -0.916767	-2.06429 0.438795 -0.868896
-2.06429 0.438795 -0.868896	-1.8355 0.5 -0.794293
-1.8355 0.5 -0.794293	-1.60843 0.438788 -0.715212
-1.60843 0.438788 -0.715212	-1.43654 0.270145 -0.65606
