1000 without_current 1
0.90064 0.434566 -1.84	0.852757 0.522309 -1.83
0.852757 0.522309 -1.83	0.796352 0.604833 -1.82
0.796352 0.604833 -1.82	0.731991 0.681314 -1.81
0.731991 0.681314 -1.81	0.660317 0.750987 -1.8
0.660317 0.750987 -1.8	0.582044 0.813157 -1.79
0.582044 0.813157 -1.79	0.497956 0.867202 -1.78
0.497956 0.867202 -1.78	0.408893 0.912582 -1.77
0.408893 0.912582 -1.77	0.315744 0.948844 -1.76
0.315744 0.948844 -1.76	0.21944 0.975626 -1.75
0.21944 0.975626 -1.75	0.120944 0.992659 -1.74
0.120944 0.992659 -1.74	0.0212388 0.999774 -1.73
0.0212388 0.999774 -1.73	-0.0786782 0.9969 -1.72
-0.0786782 0.9969 -1.72	-0.177809 0.984065 -1.71
-0.177809 0.984065 -1.71	-0.275163 0.961397 -1.7
-0.275163 0.961397 -1.7	-0.369768 0.929124 -1.69
-0.369768 0.929124 -1.69	-0.460679 0.887567 -1.68
-0.460679 0.887567 -1.68	-0.546986 0.837142 -1.67
-0.546986 0.837142 -1.67	-0.627828 0.778352 -1.66
-0.627828 0.778352 -1.66	-0.702397 0.711785 -1.65
-0.702397 0.711785 -1.65	-0.769948 0.638107 -1.64
-0.769948 0.638107 -1.64	-0.829806 0.558052 -1.63
-0.829806 0.558052 -1.63	-0.881372 0.472422 -1.62
-0.881372 0.472422 -1.62	-0.924133 0.382071 -1.61
-0.924133 0.382071 -1.61	-0.957659 0.287903 -1.6
-0.957659 0.287903 -1.6	-0.981618 0.190859 -1.59
-0.981618 0.190859 -1.59	-0.995768 0.0919069 -1.58
-0.995768 0.0919069 -1.58	-0.999968 -0.00796318 -1.57
-0.999968 -0.00796318 -1.57	-0.994178 -0.107754 -1.56
-0.994178 -0.107754 -1.56	-0.978453 -0.206467 -1.55
-0.978453 -0.206467 -1.55	-0.952953 -0.303118 -1.54
-0.952953 -0.303118 -1.54	-0.917931 -0.396741 -1.53
-0.917931 -0.396741 -1.53	-0.873737 -0.486399 -1.52
-0.873737 -0.486399 -1.52	-0.820813 -0.571197 -1.51
-0.820813 -0.571197 -1.51	-0.759688 -0.650288 -1.5
-0.759688 -0.650288 -1.5	-0.690972 -0.722881 -1.49
-0.690972 -0.722881 -1.49	-0.615352 -0.788252 -1.48
-0.615352 -0.788252 -1.48	-0.533584 -0.845747 -1.47
-0.533584 -0.845747 -1.47	-0.446485 -0.894791 -1.46
-0.446485 -0.894791 -1.46	-0.354924 -0.934895 -1.45
-0.354924 -0.934895 -1.45	-0.259817 -0.965658 -1.44
-0.259817 -0.965658 -1.44	-0.162114 -0.986772 -1.43
-0.162114 -0.986772 -1.43	-0.0627917 -0.998027 -1.42
-0.0627917 -0.998027 -1.42	0.0371584 -0.999309 -1.41
0.0371584 -0.999309 -1.41	0.136737 -0.990607 -1.4
0.136737 -0.990607 -1.4	0.23495 -0.972008 -1.39
0.23495 -0.972008 -1.39	0.330815 -0.943696 -1.38
0.330815 -0.943696 -1.38	0.423375 -0.905955 -1.37
0.423375 -0.905955 -1.37	0.511704 -0.859162 -1.36
0.511704 -0.859162 -1.36	0.594921 -0.803784 -1.35
0.594921 -0.803784 -1.35	0.672193 -0.740376 -1.34
0.672193 -0.740376 -1.34	0.742749 -0.66957 -1.33
0.742749 -0.66957 -1.33	0.805884 -0.592074 -1.32
0.805884 -0.592074 -1.32	0.860967 -0.508661 -1.31
0.860967 -0.508661 -1.31	0.907447 -0.420167 -1.3
0.907447 -0.420167 -1.3	0.94486 -0.327474 -1.29
0.94486 -0.327474 -1.29	0.972833 -0.23151 -1.28
0.972833 -0.23151 -1.28	0.991085 -0.133232 -1.27
0.991085 -0.133232 -1.27	0.999435 -0.033623 -1.26
0.999435 -0.033623 -1.26	0.997798 0.0663219 -1.25
0.997798 0.0663219 -1.25	0.986192 0.165604 -1.24
0.986192 0.165604 -1.24	0.964733 0.263232 -1.23
0.964733 0.263232 -1.23	0.933634 0.358229 -1.22
0.933634 0.358229 -1.22	0.893206 0.449647 -1.21
0.893206 0.449647 -1.21	0.843854 0.536573 -1.2
0.843854 0.536573 -1.2	0.78607 0.618137 -1.19
0.78607 0.618137 -1.19	0.720432 0.693525 -1.18
0.720432 0.693525 -1.18	0.647596 0.761984 -1.17
0.647596 0.761984 -1.17	0.56829 0.822829 -1.16
0.56829 0.822829 -1.16	0.483305 0.875452 -1.15
0.483305 0.875452 -1.15	0.393491 0.919329 -1.14
0.393491 0.919329 -1.14	0.299745 0.954019 -1.13
0.299745 0.954019 -1.13	0.203005 0.979178 -1.12
0.203005 0.979178 -1.12	0.104236 0.994553 -1.11
0.104236 0.994553 -1.11	0.0044257 0.99999 -1.1
0.0044257 0.99999 -1.1	-0.0954289 0.995436 -1.09
-0.0954289 0.995436 -1.09	-0.19433 0.980936 -1.08
-0.19433 0.980936 -1.08	-0.291289 0.956635 -1.07
-0.291289 0.956635 -1.07	-0.385338 0.922775 -1.06
-0.385338 0.922775 -1.06	-0.475537 0.879696 -1.05
-0.475537 0.879696 -1.05	-0.560984 0.827826 -1.04
-0.560984 0.827826 -1.04	-0.640826 0.767686 -1.03
-0.640826 0.767686 -1.03	-0.714266 0.699875 -1.02
-0.714266 0.699875 -1.02	-0.780568 0.625071 -1.01
-0.780568 0.625071 -1.01	-0.839072 0.544021 -1
-0.839072 0.544021 -1	-0.889191 0.457536 -0.99
-0.889191 0.457536 -0.99	-0.930426 0.366479 -0.98
-0.930426 0.366479 -0.98	-0.962365 0.271761 -0.97
-0.962365 0.271761 -0.97	-0.984688 0.174327 -0.96
-0.984688 0.174327 -0.96	-0.997172 0.0751511 -0.95
-0.997172 0.0751511 -0.95	-0.999693 -0.0247754 -0.94
-0.999693 -0.0247754 -0.94	-0.992225 -0.124454 -0.93
-0.992225 -0.124454 -0.93	-0.974844 -0.22289 -0.92
-0.974844 -0.22289 -0.92	-0.947722 -0.319098 -0.91
-0.947722 -0.319098 -0.91	-0.91113 -0.412118 -0.9
-0.91113 -0.412118 -0.9	-0.865435 -0.501021 -0.89
-0.865435 -0.501021 -0.89	-0.811093 -0.584917 -0.88
-0.811093 -0.584917 -0.88	-0.748647 -0.662969 -0.87
-0.748647 -0.662969 -0.87	-0.67872 -0.734397 -0.86
-0.67872 -0.734397 -0.86	-0.602012 -0.798487 -0.85
-0.602012 -0.798487 -0.85	-0.519289 -0.854599 -0.84
-0.519289 -0.854599 -0.84	-0.431377 -0.902172 -0.83
-0.431377 -0.902172 -0.83	-0.339155 -0.940731 -0.82
